article_number,title,content
1,Fundamental Rights,"The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India."
2,Right to Equality,"The State shall not discriminate against any citizen on grounds only of religion, race, caste, sex or place of birth."
3,Right to Freedom,"All citizens shall have the right to freedom of speech and expression, assembly, association, movement, residence and profession."
4,Right against Exploitation,"Prohibition of traffic in human beings and forced labour."
5,Right to Freedom of Religion,"Freedom of conscience and free profession, practice and propagation of religion."
6,Cultural and Educational Rights,"All minorities shall have the right to establish and administer educational institutions of their choice."
7,Right to Constitutional Remedies,"The right to move the Supreme Court by appropriate proceedings for the enforcement of the rights conferred by this part is guaranteed."
8,Right to Property,"No person shall be deprived of his property save by authority of law."
9,Right to Education,"The State shall provide free and compulsory education to all children of the age of six to fourteen years."
10,Right to Work,"The State shall secure the right to work, to education and to public assistance in cases of unemployment, old age, sickness and disablement."